SKU,Descripcion,Material,Precio_EUR,Alto,Diametro,Capacidad,foto
H.BIK.DLV36,Dolce Vita flute champagne gold,Acrílico,"10,29",21 cm,"6,5 cm",,dolce-vita-fl\303\273te-oro-2226.jpg
H.BIK.DLV15,Dolce Vita flute champagne red,Acrílico,"10,29",21 cm,"6,5 cm",,dolce-vita-fl\303\273te-rosso-1017.jpg
H.BIK.DLV11,Dolce Vita flute champagne royal blue,Acrílico,"10,29",21 cm,"6,5 cm",,dolce-vita-fl\303\273te-blu-1015.jpg
H.BIK.DLV16,Dolce Vita flute champagne ruby,Acrílico,"10,29",21 cm,"6,5 cm",,dolce-vita-fl\303\273te-rubino-1018.jpg
H.BIK.DLV42,Dolce Vita flute champagne clear gold thread,Acrílico,"11,50",21 cm,"6,5 cm",,goldfingerdolcevita-flute-2420.jpg
H.BIK.DLV12,Dolce Vita flute champagne clear,Acrílico,"10,29",21 cm,"6,5 cm",,dolce-vita-fl\303\273te-trasparente-1019.jpg
H.BIK.DLV30,Dolce Vita flute champagne turquoise,Acrílico,"10,29",21 cm,"6,5 cm",,dolce-vita-fl\303\273te-turchese-1328.jpg
H.BIK.DLV13,Dolce Vita flute champagne green,Acrílico,"10,29",21 cm,"6,5 cm",,dolce-vita-fl\303\273te-verde-1020.jpg
H.BIK.FDM10,Forte dei Marmi white/black,Acrílico,"10,29",11 cm,9 cm,,forte-dei-marmi-bianco-nero-1979.jpg
H.BIK.FLU4,Wine & Drinks Billionaire clear,Acrílico,"8,47",,,,billionaire-trasparente-2414.jpg
H.BIK.FLU10,Wine E Drinks bistrot frost,Acrílico,"9,68","22,5 cm",10 cm,,bistrot-frost-2468.jpg
H.BIK.FLU1,Wine & Drinks bistrot clear,Acrílico,"9,68","22,5 cm",10 cm,,bistrot-trasparente-2333.jpg
H.BIK.FLU3,MARTINI GLASS CLEAR,Acrílico,"7,87",17 cm,12 cm,,martini-trasparente-2581.jpg
H.BIK.FLU,Wine & Drinks flute clear,Acrílico,"7,87","20,5 cm",,,fl\303\273te-trasparente-119.jpg
H.BIK.FLU7,Wine E Drinks Twiga frost,Acrílico,"9,50",20 cm,8 cm,,twiga-frost-2470.jpg
H.BIK.FLU2,Wine & Drinks Twiga clear,Acrílico,"9,08",20 cm,8 cm,,twiga-trasparente-118.jpg
H.BIK.GUL1,Gulli tumbler white,Acrílico,"10,29","10,5 cm",10 cm,,gulli-bianco-1904.jpg
H.BIK.GUL5,Gulli tumbler fluo orange,Acrílico,"10,29","10,5 cm",10 cm,,gulli-arancio-1903.jpg
H.BIK.GUL3,Gulli tumbler fluo green,Acrílico,"10,29","10,5 cm",10 cm,,gulli-verde-1908.jpg
H.BIK.GUL2,Gulli tumbler black,Acrílico,"10,29","10,5 cm",10 cm,,gulli-nero-1905.jpg
H.BIK.GUL4,Gulli tumbler clear,Acrílico,"10,29","10,5 cm",10 cm,,gulli-trasparente-1906.jpg
H.BIK.GUL7,Gulli tumbler turquoise,Acrílico,"10,29","10,5 cm",10 cm,,gulli-turchese-1907.jpg
H.BIK.GUL12,Gulli tumbler white/black,Acrílico,"10,29","10,5 cm",10 cm,,gulli-inverso-bianco-nero-1986.jpg
H.BIK.GUL13,Gulli tumbler black/white,Acrílico,"10,29","10,5 cm",10 cm,,gulli-inverso-nero-bianco-1988.jpg
H.BIK.LEN26,Lente tumbler blue/white,Acrílico,"8,47",11 cm,9 cm,,lente-basso-bianco-blu-2143.jpg
H.BIK.LEN31,Lente tumbler grey/white,Acrílico,"8,47",11 cm,9 cm,,lente-basso-binaco-grigio-2399.jpg
H.BIK.LEN27,Lente tumbler red/white,Acrílico,"8,47",11 cm,9 cm,,lente-basso-bianco-rosso-2144.jpg
H.BIK.LEN30,Lente tumbler turquoise/white,Acrílico,"8,47",11 cm,9 cm,,lente-basso-bianco-turchese-2145.jpg
H.BIK.LEN29,Lente tumbler green/white,Acrílico,"8,47",11 cm,9 cm,,lente-basso-bianco-verde-2147.jpg
H.BIK.LEN28,Lente tumbler purple/white,Acrílico,"8,47",11 cm,9 cm,,lente-basso-bianco-viola-2146.jpg
H.BIK.LEN4,Lente tumbler white high,Acrílico,"9,08",16 cm,"8,7 cm",,lente-alto-bianco-444.jpg
H.BIK.LEN3,Lente tumbler white,Acrílico,"8,47",11 cm,9 cm,,lente-basso-bianco-446.jpg
H.BIK.LEN21,Lente tumbler blue high,Acrílico,"9,08",16 cm,"8,7 cm",,lente-alto-blu-1304.jpg
H.BIK.LEN5,Lente tumbler grey,Acrílico,"8,47",11 cm,9 cm,,lente-basso-grigio-599.jpg
H.BIK.LEN2,Lente tumbler black high,Acrílico,"9,08",16 cm,"8,7 cm",,lente-alto-nero-445.jpg
H.BIK.LEN1,Lente tumbler black,Acrílico,"8,47",11 cm,9 cm,,lente-basso-nero-447.jpg
H.BIK.LEN35,Lente tumbler pink,Acrílico,"8,47",11 cm,9 cm,,lente-basso-rosa-2592.jpg
H.BIK.LEN11,Lente tumbler red,Acrílico,"8,47",11 cm,9 cm,,lente-basso-rosso-590.jpg
H.BIK.LEN20,Lente tumbler clear high,Acrílico,"9,08",16 cm,"8,7 cm",,lente-alto-trasparente-1201.jpg
H.BIK.LEN19,Lente tumbler clear,Acrílico,"8,47",11 cm,9 cm,,lente-basso-trasparente-1088.jpg
H.BIK.LEN24,Lente tumbler turquoise high,Acrílico,"9,08",16 cm,"8,7 cm",,lente-alto-turchese-1303.jpg
H.BIK.LEN15,Lente tumbler turquoise,Acrílico,"8,47",11 cm,9 cm,,lente-basso-turchese-975.jpg
H.BIK.MUN1,Mille e una Notte tumbler amber,Acrílico,"11,00",11 cm,9 cm,,milleeunanotte-ambra-2276.jpg
H.BIK.MUN2,Mille e una Notte clear,Acrílico,"11,00",11 cm,9 cm,,milleeunanotte-trasparente-2278.jpg
H.BIK.MUN3,Mille e una Notte blue,Acrílico,"11,00",11 cm,9 cm,,milleeunanotte-blu-2277.jpg
H.BIK.MUN4,Mille e una Notte green,Acrílico,"11,00",11 cm,9 cm,,milleeunanotte-verde-2279.jpg
H.BIK.MUN5,Mille e una Notte turquoise,Acrílico,"11,00",11 cm,9 cm,,milleeunanotte-turchese-2281.jpg
H.BIK.PAL2,Palazzo tumbler blue,Acrílico,"10,89",11 cm,"9,7 cm",,palazzomario-blu-2360.jpg
H.BIK.PAL3,Palazzo tumbler red,Acrílico,"10,89",11 cm,"9,7 cm",,palazzomario-rosso-1836.jpg
H.BIK.PAL4,Palazzo tumbler green,Acrílico,"10,89",11 cm,"9,7 cm",,palazzomario-verde-1838.jpg
H.BIK.PET1,Peter tumbler clear,Acrílico,"10,50",12 cm,"9,2 cm",,peter-trasparente-2602.jpg
H.BIK.PET2,Peter tumbler amber,Acrílico,"10,50",12 cm,"9,2 cm",,peter-ambra-2603.jpg
H.BIK.PET4,Peter tumbler green,Acrílico,"10,50",12 cm,"9,2 cm",,peter-verde-2601.jpg
H.BIK.PET5,Peter tumbler royal blue,Acrílico,"10,50",12 cm,"9,2 cm",,peter-blu-2600.jpg
H.BIK.PIE2,Pie tumbler amber,Acrílico,"10,00","10,5 cm","8,2 cm",,pie-ambra-2629.jpg
H.BIK.PIE4,Pie tumbler royal blue,Acrílico,"10,00","10,5 cm","8,2 cm",,pie-blu-2626.jpg
H.BIK.SAPA1,Panza wine glass Ruby,Acrílico,"10,50","16,5 cm",9 cm,,panza-rubino-2535.jpg
H.BIK.SAPA3,Panza wine glass Green,Acrílico,"10,50","16,5 cm",9 cm,,panza-verde-2534.jpg
H.BIK.SAPA8,Sancho water glass Ruby,Acrílico,"10,50","17,5 cm","9,7 cm",,sancho-rubino-2540.jpg
H.BIK.SAPA9,Sancho water glass Clear,Acrílico,"10,50","17,5 cm","9,7 cm",,sancho-trasparente-2538.jpg
H.BIK.SAPA10,Sancho water glass Green,Acrílico,"10,50","17,5 cm","9,7 cm",,sancho-verde-2539.jpg
H.BIK.SCO2,Scotch tumbler clear,Acrílico,"9,68",10 cm,"8,6 cm",,scotch-trasparente-1050.jpg
H.BIK.SCR1,St. Moritz wine glass clear,Acrílico,"9,68","18,5 cm",10 cm,,st-moritz-acqua-bicolore-trasparente-2240.jpg
H.BIK.SCR2,St. Moritz wine glass red bicolor,Acrílico,"9,68","18,5 cm",10 cm,,st-moritz-acqua-bicolore-rosso-2126.jpg
H.BIK.SCR3,St. Moritz wine glass royal blue bicolor,Acrílico,"9,68","18,5 cm",10 cm,,st-moritz-acqua-bicolore-blu-2125.jpg
H.BIK.SCR4,St. Moritz wine glass green bicolor,Acrílico,"9,68","18,5 cm",10 cm,,st-moritz-acqua-bicolore-verde-2127.jpg
H.BIK.SCR5,St. Moritz wine glass high clear,Acrílico,"9,68","17,8 cm",9 cm,,st-moritz-vino-bicolore-trasparente-2239.jpg
H.BIK.SCR6,St. Moritz wine glass high red bicolor,Acrílico,"9,68","17,8 cm",9 cm,,st-moritz-vino-bicolore-rosso-2129.jpg
H.BIK.SCR7,St. Moritz wine glass high royal blue bicolor,Acrílico,"9,68","17,8 cm",9 cm,,st-moritz-vino-bicolore-blu-2128.jpg
H.BIK.SCR8,St. Moritz wine glass high green bicolor,Acrílico,"9,68","17,8 cm",9 cm,,st-moritz-vino-bicolore-verde-2130.jpg
H.BIK.STARD.10,Stella tumbler amber,Acrílico,"9,08",10 cm,9 cm,,stella-acqua-ambra-2028.jpg
H.BIK.STARD.3,Stella tumbler blue,Acrílico,"9,08",10 cm,9 cm,,stella-acqua-blu-2029.jpg
H.BIK.STARD.4,Stella tumbler green,Acrílico,"9,08",10 cm,9 cm,,stella-acqua-verde-2034.jpg
H.BIK.STARD.5,Stella tumbler grey,Acrílico,"9,08",10 cm,9 cm,,stella-acqua-grigio-2067.jpg
H.BIK.STARD.6,Stella tumbler turquoise,Acrílico,"9,08",10 cm,9 cm,,stella-acqua-turchese-2035.jpg
H.BIK.STARD.7,Stella tumbler white,Acrílico,"9,08",10 cm,9 cm,,stella-acqua-bianco-2030.jpg
H.BIK.STARD1,Stella tumbler clear,Acrílico,"9,08",10 cm,9 cm,,stella-acqua-trasparente-2032.jpg
H.BIK.STARD2,Stella tumbler red,Acrílico,"9,08",10 cm,9 cm,,stella-acqua-rosso-2031.jpg
H.BIK.STE1,Stella wine glass clear,Acrílico,"11,50",14 cm,9 cm,,stella-vino-trasparente-2165.jpg
H.BIK.STE2,Stella wine glass red,Acrílico,"11,50",14 cm,9 cm,,stella-vino-rosso-2164.jpg
H.BIK.STE3,Stella wine glass blue,Acrílico,"11,50",14 cm,9 cm,,stella-vino-blu-2162.jpg
H.BIK.STE4,Stella wine glass green,Acrílico,"11,50",14 cm,9 cm,,stella-vino-verde-2166.jpg
H.BIK.STE5,Stella wine glass turquoise,Acrílico,"11,50",14 cm,9 cm,,stella-vino-turchese-2167.jpg
H.BIK.STE6,Stella wine glass amber,Acrílico,"11,50",14 cm,9 cm,,stella-vino-ambra-2160.jpg
H.BIK.STE7,Stella wine glass grey,Acrílico,"11,50",14 cm,9 cm,,stella-vino-grigio-2163.jpg
H.BIK.STE8,Stella wine glass white,Acrílico,"11,50",14 cm,9 cm,,stella-vino-bianco-2161.jpg
H.BIK.TUM8,Super tumbler amber,Acrílico,"11,50",11 cm,9 cm,,super-milly-ambra-1286.jpg
H.BIK.TUM9,Super tumbler blue,Acrílico,"11,50",11 cm,9 cm,,super-milly-blu-1287.jpg
H.BIK.TUM11,Super tumbler white frost,Acrílico,"13,92",11 cm,9 cm,,super-milly-frost-2340.jpg
H.BIK.TUM13,Super tumbler red,Acrílico,"11,50",11 cm,9 cm,,super-milly-rosso-1288.jpg
H.BIK.TUM16,Super tumbler rubi,Acrílico,"11,50",11 cm,9 cm,,super-milly-rubino-2498.jpg
H.BIK.TUM10,Super tumbler clear,Acrílico,"11,50",11 cm,9 cm,,super-milly-trasparente-1289.jpg
H.BIK.TUM12,Super tumbler turquoise,Acrílico,"11,50",11 cm,9 cm,,super-milly-turchese-1291.jpg
H.BIK.TUM14,Super tumbler green,Acrílico,"11,50",11 cm,9 cm,,super-milly-verde-1290.jpg
H.BIK.TUM4,Tumbler amber,Acrílico,"10,89",10 cm,9 cm,,milly-ambra-1064.jpg
H.BIK.TUM2,Tumbler white frost,Acrílico,"12,10",10 cm,9 cm,,milly-frost-2339.jpg
H.BIK.TUM3,Tumbler red,Acrílico,"10,89",10 cm,9 cm,,milly-rosso-1061.jpg
H.BIK.TUM6,Tumbler royal blue,Acrílico,"10,89",10 cm,9 cm,,milly-blu-1060.jpg
H.BIK.TUM15,Tumbler ruby,Acrílico,"10,89",10 cm,9 cm,,milly-rubino-2499.jpg
H.BIK.TUM1,Tumbler clear,Acrílico,"10,89",10 cm,9 cm,,milly-trasparente-1058.jpg
H.BIK.TUM5,Tumbler turquoise,Acrílico,"10,89",10 cm,9 cm,,milly-turchese-1199.jpg
H.BIK.TUM7,Tumbler green,Acrílico,"10,89",10 cm,9 cm,,milly-verde-1062.jpg
H.BIK.VEN1,Venezia tumbler clear,Acrílico,"7,87",9 cm,,,venezia-tumbler-trasparente-657.jpg
H.BIK.VEN3,Venezia tumbler green,Acrílico,"7,87",9 cm,,,venezia-tumbler-verde-541.jpg
H.BIK.VEN4,Venezia tumbler fumè,Acrílico,"7,87",9 cm,,,venezia-tumbler-fume-596.jpg
H.BIK.VEN6,Venezia tumbler royal blue,Acrílico,"7,87",9 cm,,,venezia-tumbler-blu-1159.jpg
H.BIK.VEN7,Venezia tumbler amber,Acrílico,"7,87",9 cm,,,venezia-tumbler-ambra-1160.jpg
H.BIK.WIN14,Winston tumbler blue,Acrílico,"9,08",10 cm,9 cm,,winston-acqua-blu-2154.jpg
H.BIK.WIN23,Winston tumbler grey,Acrílico,"9,08",10 cm,9 cm,,winston-acqua-grigio-2155.jpg
H.BIK.WIN19,Winston tumbler black,Acrílico,"9,08",10 cm,9 cm,,winston-acqua-nero-2336.jpg
H.BIK.WIN21,Winston tumbler gold,Acrílico,"9,08",10 cm,9 cm,,winston-acqua-oro-2158.jpg
H.BIK.WIN18,Winston tumbler ruby,Acrílico,"9,08",10 cm,9 cm,,winston-acqua-rubino-2156.jpg
H.BIK.WIN24,Winston tumbler white,Acrílico,"9,08",10 cm,9 cm,,winston-acqua-bianco-2153.jpg
H.BIK.WIN17,Winston tumbler clear,Acrílico,"9,08",10 cm,9 cm,,winston-acqua-trasparente-2157.jpg
H.BIK.WIN16,Winston tumbler green,Acrílico,"9,08",10 cm,9 cm,,winston-acqua-verde-2159.jpg
H.BIK.WIN26,Winston wine glass grey,Acrílico,"11,50",14 cm,9 cm,,winston-vino-grigio-2285.jpg
H.BIK.WIN25,Winston wine glass gold,Acrílico,"11,50",14 cm,9 cm,,winston-vino-oro-2282.jpg
H.BIK.WIN3,Winston wine glass royal blue,Acrílico,"11,50",14 cm,9 cm,,winston-vino-blu-2021.jpg
H.BIK.WIN2,Winston wine glass ruby,Acrílico,"11,50",14 cm,9 cm,,winston-vino-rubino-2284.jpg
H.BIK.WIN15,Winston wine glass white,Acrílico,"11,50",14 cm,9 cm,,winston-vino-bianco-2023.jpg
H.BIK.WIN5,Winston wine glass black,Acrílico,"11,50",14 cm,9 cm,,winston-vino-nero-2283.jpg
H.BIK.WIN1,Winston wine glass clear,Acrílico,"11,50",14 cm,9 cm,,winston-vino-trasparente-2025.jpg
H.BIK.WIN4,Winston wine glass green,Acrílico,"11,50",14 cm,9 cm,,winston-vino-verde-2027.jpg
H.BIK.WIN27,Winston cup white,Acrílico,"11,00","6,3 cm","9,3 cm",,winston-bianco-2322.jpg
H.BIK.WIN9,Winston cup royal blue,Acrílico,"11,00","6,3 cm","9,3 cm",,winston-blu-2323.jpg
H.BIK.WIN8,Winston cup clear,Acrílico,"11,00","6,3 cm","9,3 cm",,winston-trasparente-2325.jpg
H.BIK.WIN28,Winston cup green,Acrílico,"11,00","6,3 cm","9,3 cm",,winston-verde-2324.jpg
H.BIK.WIN12,Winston flute white,Acrílico,"11,50","19,5 cm","6,7 cm",,winston-flute-bianco-2329.jpg
H.BIK.WIN11,Winston flute blu,Acrílico,"11,50","19,5 cm","6,7 cm",,winston-flute-blu-2330.jpg
H.BIK.WIN20,Winston flute gold,Acrílico,"11,50","19,5 cm","6,7 cm",,winston-flute-oro-2356.jpg
H.BIK.WIN10,Winston flute clear,Acrílico,"11,50","19,5 cm","6,7 cm",,winston-flute-trasparente-2332.jpg
H.BIK.WIN13,Winston flute green,Acrílico,"11,50","19,5 cm","6,7 cm",,winston-flute-verde-2331.jpg
H.BIK.WIS1,Wiskey tumbler clear,Acrílico,"9,79","13,5 cm","7,8 cm",,whiskey-trasparente-659.jpg
H.BOT.AQU1,Aquarama bottle ruby,Acrílico,"31,46","32,5 cm",,750 ml,aquarama-rubino-1976.jpg
H.BOT.AQU2,Aquarama bottle green,Acrílico,"31,46","32,5 cm",,750 ml,aquarama-verde-2082.jpg
H.BOT.AQU3,Aquarama bottle royal blue,Acrílico,"31,46","32,5 cm",,750 ml,aquarama-blu-2083.jpg
H.BOT.AQU4,Aquarama bottle clear,Acrílico,"31,46","32,5 cm",,750 ml,aquarama-trasparente-1977.jpg
H.BOT.BONA4,Bona bottle blue,Acrílico,"26,62","35,5 cm",9 cm,,bona-blu-1102.jpg
H.BOT.BONA16,Bona bottle frost,Acrílico,"28,50","35,5 cm",9 cm,,bona-frost-2494.jpg
H.BOT.BONA3,Bona bottle ruby,Acrílico,"26,62","35,5 cm",9 cm,,bona-rubino-1099.jpg
H.BOT.BONA1,Bona bottle clear,Acrílico,"26,62","35,5 cm",9 cm,,bona-trasparente-1100.jpg
H.BOT.BONA6,Bona bottle turquoise,Acrílico,"26,62","35,5 cm",9 cm,,bona-turchese-1343.jpg
H.BOT.BONA2,Bona bottle green,Acrílico,"26,62","35,5 cm",9 cm,,bona-verde-1101.jpg
H.BOT.MAN1,Manfredo bottle Amber,Acrílico,"45,00",37 cm,,,manfredo-ambra-2543.jpg
H.BOT.MAN2,Manfredo bottle Clear,Acrílico,"45,00",37 cm,,,manfredo-trasparente-2545.jpg
H.BOT.MAN4,Manfredo bottle Grey,Acrílico,"45,00",37 cm,,,manfredo-grigio-2548.jpg
H.BOT.MAN6,Manfredo bottle Green,Acrílico,"45,00",37 cm,,,manfredo-verde-2544.jpg
H.BOT.ORS1,Orsetta bottle white gloss,Acrílico,"45,00","23,5 cm","15,5 cm","1,35 L",orsetto-smalto-bianco-2478.jpg
H.BOT.ORS2,Orsetta bottle royal blue,Acrílico,"45,00","23,5 cm","15,5 cm","1,35 L",orsetta-blu-2503.jpg
H.BOT.ORS3,Orsetta bottle green,Acrílico,"45,00","23,5 cm","15,5 cm","1,35 L",orsetto-verde-2474.jpg
H.BOT.ORS4,Orsetta bottle clear,Acrílico,"45,00","23,5 cm","15,5 cm","1,35 L",orsetto-trasparente-2473.jpg
H.BRO.CES1,Cesara pitcher clear,Acrílico,"33,88",33 cm,14 cm,500 ml,cesara-trasparente-1769.jpg
H.BRO.DIA19,Diamante pitcher green,Acrílico,"22,99",21 cm,,3 L,diamante-verde-135.jpg
H.BRO.DIA21,Palla pitcher clear,Acrílico,"29,04",21 cm,,3 L,palla-trasparente-121.jpg
H.BRO.DIA34,Palla pitcher red gloss,Acrílico,"29,04",21 cm,,3 L,palla-smalto-rosso-450.jpg
H.BRO.DIA35,Palla pitcher black gloss,Acrílico,"29,04",21 cm,,3 L,palla-smalto-nero-2334.jpg
H.BRO.DIA36,Palla pitcher white gloss,Acrílico,"29,04",21 cm,,3 L,palla-smalto-bianco-448.jpg
H.BRO.DIA37,Palla pitcher turquoise gloss,Acrílico,"29,04",21 cm,,3 L,palla-smalto-turchese-451.jpg
H.BRO.DIA41,Palla pitcher amber,Acrílico,"29,04",21 cm,,3 L,palla-ambra-594.jpg
H.BRO.DIA45,Palla pitcher fluo fuxia gloss,Acrílico,"29,04",21 cm,,3 L,palla-flu-fuxia-740.jpg
H.BRO.DIA46,Palla pitcher fluo orange gloss,Acrílico,"29,04",21 cm,,3 L,palla-flu-arancio-738.jpg
H.BRO.DIA47,Palla pitcher fluo green gloss,Acrílico,"29,04",21 cm,,3 L,palla-flu-verde-739.jpg
H.BRO.DIA50,Palla pitcher yellow gloss,Acrílico,"29,04",21 cm,,3 L,palla-smalto-giallo-1469.jpg
H.BRO.DIA51,Palla pitcher grey,Acrílico,"29,04",21 cm,,3 L,palla-grigio-2122.jpg
H.BRO.DIA52,Palla pitcher pink,Acrílico,"29,04",21 cm,,3 L,palla-smalto-rosa-2593.jpg
H.BRO.FED1,Federica pitcher clear,Acrílico,"30,25","21,5 cm",,"1,2 L",federica-trasparente-918.jpg
H.BRO.FED10,Federica pitcher grey,Acrílico,"30,25","21,5 cm",,"1,2 L",federica-grigio-976.jpg
H.BRO.FED3,Federica pitcher green,Acrílico,"30,25","21,5 cm",,"1,2 L",federica-verde-922.jpg
H.BRO.FED6,Federica pitcher white gloss,Acrílico,"30,25","21,5 cm",,"1,2 L",federica-smalto-bianco-2343.jpg
H.BRO.FED7,Federica pitcher blue,Acrílico,"30,25","21,5 cm",,"1,2 L",federica-blu-950.jpg
H.BRO.GENE1,Gene Krupa pitcher clear,Acrílico,"35,00","18,6 cm",,"1,5 L",genekrupa-trasparente-2457.jpg
H.BRO.GENE2,Gene Krupa pitcher white gloss,Acrílico,"35,00","18,6 cm",,"1,5 L",genekrupa-bianco-2471.jpg
H.BRO.GENE3,Gene Krupa pitcher royal blue,Acrílico,"35,00","18,6 cm",,"1,5 L",genekrupa-blu-2461.jpg
H.BRO.GENE4,Gene Krupa pitcher ruby,Acrílico,"35,00","18,6 cm",,"1,5 L",genekrupa-rubino-2460.jpg
H.BRO.GENE5,Gene Krupa pitcher green,Acrílico,"35,00","18,6 cm",,"1,5 L",genekrupa-verde-2458.jpg
H.BRO.GENE6,Gene Krupa pitcher AMBER,Acrílico,"35,00","18,6 cm",,"1,5 L",genekrupa-ambra-2459.jpg
H.BRO.HAL1,Halina pitcher clear,Acrílico,"32,67",,,,halina-trasparente-2222.jpg
H.BRO.HAL2,Halina pitcher red,Acrílico,"32,67",,,,halina-rosso-2248.jpg
H.BRO.HAL3,Halina pitcher royal blue,Acrílico,"32,67",,,,halina-blu-2219.jpg
H.BRO.HAL4,Halina pitcher green,Acrílico,"32,67",,,,halina-verde-2221.jpg
H.BRO.HAL5,Halina pitcher turquoise,Acrílico,"32,67",,,,halina-turchese-2223.jpg
H.BRO.HAL6,Halina pitcher gold,Acrílico,"42,35",,,,halina-oro-2337.jpg
H.BRO.HAL7,Halina pitcher grey,Acrílico,"32,67",,,,halina-grigio-2220.jpg
H.BRO.MAR3,Maria pitcher purple,Acrílico,"18,15",,,,maria-viola-932.jpg
H.BRO.MAR6,Maria pitcher white gloss,Acrílico,"18,15",,,,maria-bianco-927.jpg
H.BRO.PAL1,Pallina pitcher clear,Acrílico,"26,62",19 cm,,2 L,pallina-trasparente-1512.jpg
H.BRO.PAL11,Pallina pitcher grey,Acrílico,"26,62",19 cm,,2 L,pallina-grigio-2123.jpg
H.BRO.PAL12,Pallina pitcher yellow/handle red,Acrílico,"26,62",19 cm,,2 L,pallina-giallo-rosso-2229.jpg
H.BRO.PAL13,Pallina pitcher olive green gloss,Acrílico,"26,62",19 cm,,2 L,pallina-verde-oliva-2472.jpg
H.BRO.PAL2,Pallina pitcher white gloss,Acrílico,"26,62",19 cm,,2 L,pallina-bianco-1511.jpg
H.BRO.PAL5,Pallina pitcher blue/handle green,Acrílico,"26,62",19 cm,,2 L,pallina-blu-verde-1582.jpg
H.BRO.PAL6,Pallina pitcher ruby/handle green,Acrílico,"26,62",19 cm,,2 L,pallina-rubino-verde-1583.jpg
H.BRO.PAL7,Pallina pitcher green/handle blue,Acrílico,"26,62",19 cm,,2 L,pallina-verde-blu-1584.jpg
H.BRO.PAL8,Pallina pitcher red,Acrílico,"26,62",19 cm,,2 L,pallina-rosso-1517.jpg
H.BRO.PAL9,Pallina pitcher turquoise/handle ruby,Acrílico,"26,62",19 cm,,2 L,pallina-turchese-rubino-1606.jpg
H.BRO.PLU1,Plutone pitcher clear,Acrílico,"24,20",16 cm,,"1,4 L",plutone-trasparente-1777.jpg
