SKU,Descripcion,Material,Precio_EUR,Alto,Diametro,Capacidad,foto
H.INS.MIL5,Supernova salad bowl amber,Acrílico,"50,82",10 cm,25 cm,,supernova-ambra-1510.jpg
H.KAN1,Kane dog bowl red,Acrílico,"26,62","8,5 cm",30×26 cm,,ciotola-kane-rosso-rosso-1300.jpg
H.KAN2,Kane dog bowl amber,Acrílico,"26,62","8,5 cm",30×26 cm,,ciotola-kane-ambra-ambra-1298.jpg
H.KAN3,Kane dog bowl royal blue,Acrílico,"26,62","8,5 cm",30×26 cm,,ciotola-kane-blu-blu-1299.jpg
H.KAN4,Kane dog bowl green,Acrílico,"26,62","8,5 cm",30×26 cm,,ciotola-kane-verde-verde-1302.jpg
H.MAD1,M/Serena clear,Acrílico,"45,00",29 cm,"19,5 cm",,serena-portagelato-trasparente-1795.jpg
H.MAD2,M/Serena ruby,Acrílico,"45,00",29 cm,"19,5 cm",,serena-portagelato-rubino-1818.jpg
H.MAD3,M/Serena amber,Acrílico,"45,00",29 cm,"19,5 cm",,serena-portagelato-ambra-1793.jpg
H.MAD4,M/Serena green,Acrílico,"45,00",29 cm,"19,5 cm",,serena-portagelato-verde-1796.jpg
H.MAD5,M/Serena gold,Acrílico,"45,00",29 cm,"19,5 cm",,serena-portagelato-oro-2380.jpg
H.MEL4,BASE PINEAPPLE MELISSA GOLD,Acrílico,"105,00",,,,melissa2015-oro-2375.jpg
H.MEL5,BASE PINEAPPLE MELISSA RUBY,Acrílico,"105,00",,,,melissa2015-rubino-2372.jpg
H.MEL2,BASE PINEAPPLE MELISSA CLEAR,Acrílico,"105,00",,,,melissa2015-trasparente-2373.jpg
H.MEL3,BASE PINEAPPLE MELISSA GREEN,Acrílico,"105,00",,,,melissa2015-verde-2374.jpg
H.PBO18,Antartica ice bucket amber,Acrílico,"52,03",22 cm,20 cm,,antartica-ambra-1347.jpg
H.PBO19,Antartica ice bucket blue,Acrílico,"52,03",22 cm,20 cm,,antartica-blu-1345.jpg
H.PBO29,Antartica ice bucket white frost,Acrílico,"54,45",22 cm,20 cm,,antartica-frost-2346.jpg
H.PBO35,Antartica ice bucket blue frost,Acrílico,"54,45",22 cm,20 cm,,antartica-frost-blu-2347.jpg
H.PBO32,Antartica ice bucket red frost,Acrílico,"54,45",22 cm,20 cm,,antartica-frost-rosso-2349.jpg
H.PBO22,Antartica ice bucket red,Acrílico,"52,03",22 cm,20 cm,,antartica-rosso-1346.jpg
H.PBO20,Antartica ice bucket clear,Acrílico,"52,03",22 cm,20 cm,,antartica-trasparente-1349.jpg
H.PBO21,Antartica ice bucket green,Acrílico,"52,03",22 cm,20 cm,,antartica-verde-1348.jpg
H.PBO26,Filippo ice holder red,Acrílico,"33,88","14,3 cm",12 cm,,filippo-rosso-1625.jpg
H.PBO24,Filippo ice holder clear,Acrílico,"33,88","14,3 cm",12 cm,,filippo-trasparente-1626.jpg
H.PBO30,Filippo ice holder turquoise,Acrílico,"33,88","14,3 cm",12 cm,,filippo-turchese-1628.jpg
H.PIA.EVA5,Eva soup plate Ivory,Melamina,"10,50",,19 cm,,evaavo-fondo-2515.jpg
H.PIA.EVA3,Eva soup plate Royal Blue,Melamina,"10,50",,19 cm,,evablu-fondo-2509.jpg
H.PIA.EVA4,Eva soup plate Grey,Melamina,"10,50",,19 cm,,evagrigio-fondo-2506.jpg
H.PIA.EVA2,Eva soup plate Red,Melamina,"10,50",,19 cm,,evarosso-fondo-2512.jpg
H.PIA.EVA9,Eva small plate Ivory,Melamina,"10,50",,23 cm,,evaavo-frutta-2514.jpg
H.PIA.EVA8,Eva small plate Grey,Melamina,"10,50",,23 cm,,evagrigio-frutta-2505.jpg
H.PIA.EVA6,Eva small plate Red,Melamina,"10,50",,23 cm,,evarosso-frutta-2511.jpg
